ticker,sector
VNP.TO,Materials
ABRA.TO,Materials
AAV.TO,Energy
ARE.TO,Industrials
AEM.TO,Materials
AC.TO,Industrials
AGI.TO,Materials
AQN.TO,Utilities
ATD.TO,Consumer Discretionary
AAUC.TO,Materials
AP.UN.TO,Real Estate
ALA.TO,Energy
AIF.TO,Real Estate
USA.TO,Materials
ARX.TO,Energy
ARIS.TO,Materials
ATZ.TO,Consumer Discretionary
ACO.X.TO,Utilities
ATH.TO,Energy
ATRL.TO,Industrials
ATS.TO,Industrials
ASM.TO,Materials
AYA.TO,Materials
BTO.TO,Materials
BDGI.TO,Industrials
BMO.TO,Financials
BNS.TO,Financials
ABX.TO,Materials
BHC.TO,Healthcare
BTE.TO,Energy
BCE.TO,Communication Services
BIR.TO,Energy
BDT.TO,Industrials
BB.TO,Information Technology
BEI.UN.TO,Real Estate
BBD.B.TO,Industrials
BLX.TO,Energy
BYD.TO,Consumer Discretionary
BAM.TO,Financials
BBUC.TO,Industrials
BN.TO,Financials
BIP.UN.TO,Utilities
BEP.UN.TO,Energy
DOO.TO,Consumer Discretionary
CAE.TO,Industrials
CCO.TO,Energy
CAR.UN.TO,Real Estate
CM.TO,Financials
CNR.TO,Industrials
CNQ.TO,Energy
CP.TO,Industrials
CTC.A.TO,Consumer Discretionary
CU.TO,Utilities
CPX.TO,Utilities
CS.TO,Materials
CJT.TO,Industrials
CCL.B.TO,Consumer Discretionary
CLS.TO,Information Technology
CVE.TO,Energy
CG.TO,Materials
CEU.TO,Energy
GIB.A.TO,Information Technology
CSH.UN.TO,Real Estate
CHP.UN.TO,Real Estate
CCA.TO,Communication Services
CIGI.TO,Real Estate
CSU.TO,Information Technology
CRR.UN.TO,Real Estate
CRT.UN.TO,Real Estate
CURA.TO,Healthcare
DFY.TO,Financials
DML.TO,Energy
DSG.TO,Information Technology
DSV.TO,Materials
DOL.TO,Consumer Staples
DIR.UN.TO,Real Estate
DPM.TO,Materials
ELD.TO,Materials
EFN.TO,Industrials
EMA.TO,Utilities
EMP.A.TO,Consumer Staples
ENB.TO,Energy
EDR.TO,Materials
EFR.TO,Energy
EQB.TO,Financials
EFX.TO,Industrials
EQX.TO,Materials
ERO.TO,Materials
EIF.TO,Industrials
FFH.TO,Financials
FTT.TO,Industrials
FCR.UN.TO,Real Estate
AG.TO,Materials
FM.TO,Materials
FSV.TO,Real Estate
FTS.TO,Utilities
FVI.TO,Materials
FNV.TO,Materials
FRU.TO,Energy
GMIN.TO,Materials
WN.TO,Consumer Staples
GFL.TO,Industrials
GEI.TO,Energy
GIL.TO,Consumer Discretionary
GSY.TO,Financials
GRT.UN.TO,Real Estate
GWO.TO,Financials
HR.UN.TO,Real Estate
HWX.TO,Energy
HBM.TO,Materials
H.TO,Utilities
IAU.TO,Materials
IAG.TO,Financials
IMG.TO,Materials
IGM.TO,Financials
IMO.TO,Energy
IFC.TO,Financials
IPCO.TO,Energy
IIP.UN.TO,Real Estate
IVN.TO,Materials
JWEL.TO,Consumer Staples
KNT.TO,Materials
KEL.TO,Energy
KEY.TO,Energy
KMP.UN.TO,Real Estate
KXS.TO,Information Technology
K.TO,Materials
LIF.TO,Materials
LB.TO,Financials
LSPD.TO,Information Technology
LNR.TO,Consumer Discretionary
LAC.TO,Materials
L.TO,Consumer Staples
LUG.TO,Materials
LUN.TO,Materials
MG.TO,Consumer Discretionary
MFC.TO,Financials
MFI.TO,Consumer Staples
MDA.TO,Industrials
MX.TO,Materials
MRU.TO,Consumer Staples
MAU.TO,Materials
MTL.TO,Industrials
NA.TO,Financials
NXE.TO,Energy
NFI.TO,Consumer Discretionary
NGEX.TO,Materials
NWC.TO,Consumer Staples
NPI.TO,Energy
NG.TO,Materials
NTR.TO,Materials
OGC.TO,Materials
ONEX.TO,Financials
OTEX.TO,Information Technology
OLA.TO,Materials
OR.TO,Materials
PAAS.TO,Materials
POU.TO,Energy
PXT.TO,Energy
PPL.TO,Energy
PPTA.TO,Materials
PET.TO,Consumer Discretionary
PEY.TO,Energy
POW.TO,Financials
PSK.TO,Energy
PBH.TO,Consumer Staples
PMZ.UN.TO,Real Estate
QBR.B.TO,Communication Services
RBA.TO,Industrials
QSR.TO,Consumer Discretionary
RCH.TO,Consumer Discretionary
REI.UN.TO,Real Estate
RCI.B.TO,Communication Services
RY.TO,Financials
RUS.TO,Industrials
SAP.TO,Consumer Staples
SEA.TO,Materials
SES.TO,Industrials
SHOP.TO,Information Technology
SIA.TO,Healthcare
SVM.TO,Materials
SKE.TO,Materials
SRU.UN.TO,Real Estate
SOBO.TO,Energy
SII.TO,Financials
SSRM.TO,Materials
STN.TO,Industrials
SJ.TO,Materials
SCR.TO,Energy
SLF.TO,Financials
SU.TO,Energy
SPB.TO,Utilities
TVE.TO,Energy
TKO.TO,Materials
TRP.TO,Energy
TECK.B.TO,Materials
T.TO,Communication Services
TVK.TO,Energy
TFII.TO,Industrials
TRI.TO,Industrials
X.TO,Financials
TPZ.TO,Energy
TXG.TO,Materials
TIH.TO,Industrials
TD.TO,Financials
TOU.TO,Energy
TA.TO,Utilities
TCL.A.TO,Consumer Discretionary
TFPM.TO,Materials
TSU.TO,Financials
VET.TO,Energy
VITL.UN.TO,Real Estate
VZLA.TO,Materials
WCN.TO,Industrials
WDO.TO,Materials
WFG.TO,Materials
WPM.TO,Materials
WCP.TO,Energy
WPK.TO,Consumer Discretionary
WSP.TO,Industrials
