ticker,name,exchange,sector,market_cap_cad
VNP.TO,5N Plus Inc.,TSX,Clean Technology & Renewable Energy,2930092823.34
AW.TO,A & W Food Services of Canada Inc.,TSX,Consumer Products & Services,892004817.8
ABXX.TO,Abaxx Technologies Inc.,TSX,Technology,955050827.69
AAB.TO,Aberdeen International Inc.,TSX,Financial Services,3213925.64
ABRA.TO,AbraSilver Resource Corp.,TSX,Mining,2237053525.56
ADN.TO,Acadian Timber Corp.,TSX,Industrial Products & Services,335420319.38
ACD.TO,Accord Financial Corp.,TSX,Financial Services,15198149.97
ARA.TO,Aclara Resources Inc.,TSX,Mining,890144042.17
ACX.TO,ACT Energy Technologies Ltd.,TSX,Industrial Products & Services,231036678.08
ADCO.TO,Adcore Inc.,TSX,Technology,8845506.195
ADEN.TO,ADENTRA Inc.,TSX,Industrial Products & Services,837135517.12
DRX.TO,ADF Group Inc.,TSX,Industrial Products & Services,257360368.32
ACT.TO,Aduro Clean Technologies Inc.,TSX,Clean Technology & Renewable Energy,679779658.25
AAV.TO,Advantage Energy Ltd.,TSX,Oil & Gas,1999199148
ARE.TO,Aecon Group Inc.,TSX,Industrial Products & Services,3099590596.67
AEG.TO,Aegis Brands Inc.,TSX,Consumer Products & Services,22174663.42
AFN.TO,AG Growth International Inc.,TSX,Industrial Products & Services,653897945.71
AGF.TO,AGF Management Limited,TSX,Financial Services,1452984510
AEM.TO,Agnico Eagle Mines Limited,TSX,Mining,103150785558.84
AGTF.TO,AGT Food and Ingredients Inc.,TSX,Consumer Products & Services,1160470293.84
AIM.TO,Aimia Inc.,TSX,Consumer Products & Services,263758871.4
AC.TO,Air Canada,TSX,Consumer Products & Services,7105096804.63
BOS.TO,AirBoss of America Corp.,TSX,Industrial Products & Services,196448549.61
AKT.TO,Akita Drilling Ltd.,TSX,Industrial Products & Services,202625134.64
AGI.TO,Alamos Gold Inc.,TSX,Mining,16308232504.8
AD.TO,Alaris Equity Partners Income Trust,TSX,Financial Services,1414553021.85
ALC.TO,Algoma Central Corporation,TSX,Industrial Products & Services,932248411.68
ASTL.TO,Algoma Steel Group Inc.,TSX,Industrial Products & Services,569515312.52
AQN.TO,Algonquin Power & Utilities Corp.,TSX,Clean Technology & Renewable Energy,6543259008.8
ATD.TO,Alimentation Couche-Tard Inc.,TSX,Consumer Products & Services,83558757291.09
ALYA.TO,Alithya Group Inc.,TSX,Technology,103748860.68
ALK.TO,Alkane Resources Limited,TSX,Mining,1762404219.09
AAUC.TO,Allied Gold Corporation,TSX,Mining,3380296897.92
AP.TO,Allied Properties Real Estate Investment Trust,TSX,Real Estate,1806447753.06
ALA.TO,AltaGas Ltd.,TSX,Utilities & Pipelines,17616472504.14
ALS.TO,Altius Minerals Corporation,TSX,Mining,3406809277.8
AIF.TO,Altus Group Limited,TSX,Technology,1631277765.86
AMAP.TO,Amapá Minerals Holdings Inc.,TSX,Mining,366282343.35
HOT.TO,American Hotel Income Properties REIT LP,TSX,Real Estate,84151175.53
USA.TO,Americas Gold and Silver Corporation,TSX,Mining,1801373634.71
ARG.TO,Amerigo Resources Ltd.,TSX,Mining,1070385760.08
ANRG.TO,Anaergia Inc.,TSX,Clean Technology & Renewable Energy,394381228.44
APM.TO,Andean Precious Metals Corp.,TSX,Mining,841211583.83
ADW.TO,Andrew Peller Limited/Andrew Peller Limitee,TSX,Consumer Products & Services,381954553.23
APTX.TO,Apotex Health Corp.,TSX,Life Sciences,8363064132
APLI.TO,Appili Therapeutics Inc.,TSX,Life Sciences,1985491.8
ARX.TO,ARC Resources Ltd.,TSX,Oil & Gas,18995159598.45
